round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,264.0,2644.0,9.984871406959153,0.6497470376281672,0.041841605878252974,0.6802778137793594,0.019132036921085487,0.8073746831106816,0.1044002203655651
1,276.0,2644.0,10.43872919818457,0.5842155693407426,0.04258225920143958,0.6356288805805906,0.02031809342085032,0.6987804783503889,0.1063892703377731
2,288.0,2644.0,10.892586989409985,0.5944975565750479,0.04136860427849997,0.6527947193381007,0.020023132233373903,0.7298593148809669,0.10973044149590241
3,300.0,2644.0,11.346444780635402,0.6166101914071331,0.039061949230129414,0.6668012722800322,0.019681297657977097,0.7716785915028956,0.11028778097583639
4,312.0,2644.0,11.800302571860817,0.6354194041685528,0.037593787552544514,0.6800517826365167,0.019361732342310426,0.7908367598500496,0.11270583062999438
5,324.0,2644.0,12.254160363086234,0.6030854965362796,0.03804132762989313,0.6557171625492213,0.01990092322561064,0.7389190690168964,0.10811468355027264
6,336.0,2644.0,12.708018154311649,0.665771051115625,0.03504574045489924,0.6818502105242152,0.019120608084693933,0.8118906777236564,0.10264855372191171
7,348.0,2644.0,13.161875945537066,0.6042920512814817,0.03630826080706261,0.6394264022287305,0.02020441566520842,0.7037324030551181,0.10766843427557174
8,360.0,2644.0,13.61573373676248,0.6159140206551603,0.03704849068911305,0.6484222704148321,0.020066494357102647,0.7235262885377025,0.10766637568666873
9,372.0,2644.0,14.069591527987898,0.597221183096203,0.03555416567947643,0.6371271110313584,0.020222394055930418,0.7033382841653107,0.10619865715347032
10,384.0,2644.0,14.523449319213313,0.6034383689596179,0.03663601018223356,0.6623176280224501,0.01973551827875514,0.7532273483789497,0.10992281440706328
